campaign_id,campaign_name,client,channel,objective,start_date,end_date,budget,status
1,Crestwood Media — Lead Generation (Paid) Q1,Crestwood Media,Paid Search,Lead Generation,2024-03-12,2024-04-08,17061.0,Completed
2,Solstice Sports — Brand Awareness (Prog) Q1,Solstice Sports,Programmatic,Brand Awareness,2024-01-16,2024-02-10,12860.36,Completed
3,Redwood Insurance — Conversions (Paid) Q4,Redwood Insurance,Paid Social,Conversions,2024-10-14,2024-11-22,23060.56,Completed
4,Helix Health — Retargeting (Prog) Q2,Helix Health,Programmatic,Retargeting,2024-05-22,2024-06-05,13433.39,Completed
5,Pinnacle Tech — App Install (Paid) Q2,Pinnacle Tech,Paid Social,App Install,2024-04-20,2024-06-16,13336.14,Completed
6,Verdant Foods — Lead Generation (Paid) Q2,Verdant Foods,Paid Search,Lead Generation,2024-06-25,2024-08-11,11578.51,Completed
7,Redwood Insurance — Conversions (Paid) Q3,Redwood Insurance,Paid Search,Conversions,2024-07-12,2024-08-05,12618.57,Completed
8,Solstice Sports — Retargeting (Prog) Q3,Solstice Sports,Programmatic,Retargeting,2024-07-04,2024-09-29,22594.49,Completed
9,NovaSpark Retail — Brand Awareness (Paid) Q2,NovaSpark Retail,Paid Social,Brand Awareness,2024-05-28,2024-06-21,24837.9,Completed
10,Verdant Foods — Brand Awareness (Paid) Q3,Verdant Foods,Paid Social,Brand Awareness,2024-07-05,2024-08-08,13339.21,Completed
11,Helix Health — Retargeting (Disp) Q1,Helix Health,Display,Retargeting,2024-02-06,2024-03-12,14392.98,Completed
12,Orbit Travel — Brand Awareness (Prog) Q2,Orbit Travel,Programmatic,Brand Awareness,2024-05-18,2024-08-11,13707.46,Completed
13,NovaSpark Retail — Retargeting (Paid) Q1,NovaSpark Retail,Paid Social,Retargeting,2024-01-17,2024-03-11,11871.44,Completed
14,BlueLine Finance — App Install (Vide) Q4,BlueLine Finance,Video,App Install,2024-10-17,2024-12-10,20549.14,Active
